Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$205.35,-7.97,-3.736%,3084782690550.00,United States,1980,101010621,Technology,Computer Manufacturing
ABBV,AbbVie Inc. Common Stock,$198.47,5.13,2.653%,350369978866.00,United States,2012,6425165,Health Care,Biotechnology: Pharmaceutical Preparations
ABT,Abbott Laboratories Common Stock,$132.82,1.94,1.482%,231085079281.00,United States,,9801692,Health Care,Biotechnology: Pharmaceutical Preparations
AMZN,Amazon.com Inc. Common Stock,$189.98,-0.22,-0.116%,2013356622293.00,United States,1997,77903487,Consumer Discretionary,Catalog/Specialty Distribution
AVGO,Broadcom Inc. Common Stock,$203.64,6.31,3.198%,957504836730.00,United States,2009,17766751,Technology,Semiconductors
BAC,Bank of America Corporation Common Stock,$41.07,0.90,2.24%,309334151550.00,United States,,41613021,Finance,Major Banks
BRK-A,Berkshire Hathaway Inc.,$809350.00,13950.00,1.754%,1190451871900.00,United States,,531,,
BRK-B,Berkshire Hathaway Inc.,$539.80,9.57,1.805%,1190966878066.00,United States,,4945569,,
COST,Costco Wholesale Corporation Common Stock,$1008.30,10.56,1.058%,447365928863.00,United States,,1547710,Consumer Discretionary,Department/Specialty Retail Stores
CRM,Salesforce Inc. Common Stock,$275.08,5.75,2.135%,264351880000.00,United States,2004,4323760,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$59.33,1.21,2.082%,236032089991.00,United States,1990,18753540,Telecommunications,Computer Communications Equipment
CVX,Chevron Corporation Common Stock,$138.50,2.24,1.644%,243842897375.00,United States,,12393235,Energy,Integrated oil Companies
GE,GE Aerospace Common Stock,$207.70,4.09,2.009%,221488505751.00,United States,,3831677,Technology,Consumer Electronics/Appliances
GOOG,Alphabet Inc. Class C Capital Stock,$165.81,3.02,1.855%,2012104350000.00,United States,2004,16844937,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$164.03,2.73,1.692%,1990504050000.00,United States,2004,25715005,Technology,Computer Software: Programming Data Processing
HD,Home Depot Inc. (The) Common Stock,$364.52,6.22,1.736%,362344605879.00,United States,,2283261,Consumer Discretionary,RETAIL: Building Materials
IBM,International Business Machines Corporation Common Stock,$245.55,5.89,2.458%,228213328991.00,United States,,3731946,Technology,Computer Manufacturing
JNJ,Johnson & Johnson Common Stock,$156.12,1.66,1.075%,375636160317.00,United States,,5974539,Health Care,Biotechnology: Pharmaceutical Preparations
JPM,JP Morgan Chase & Co. Common Stock,$252.51,5.62,2.276%,701749149165.00,United States,,7165044,Finance,Major Banks
KO,Coca-Cola Company (The) Common Stock,$71.65,0.36,0.505%,308400711778.00,United States,,12629593,Consumer Staples,Beverages (Production/Distribution)
LIN,Linde plc Ordinary Shares,$454.95,6.90,1.54%,214415298565.00,United States,,1548579,Industrials,Major Chemicals
LLY,Eli Lilly and Company Common Stock,$823.62,29.52,3.717%,780574036877.00,United States,,6059361,Health Care,Biotechnology: Pharmaceutical Preparations
MA,Mastercard Incorporated Common Stock,$559.39,12.76,2.334%,507952759830.00,United States,2006,2632713,Consumer Discretionary,Business Services
MCD,McDonald's Corporation Common Stock,$311.96,-1.68,-0.536%,222883296922.00,United States,,3994578,Consumer Discretionary,Restaurants
META,Meta Platforms Inc. Class A Common Stock,$597.02,24.81,4.336%,1501103654198.00,United States,2012,24739260,Technology,Computer Software: Programming Data Processing
MRK,Merck & Company Inc. Common Stock (new),$83.18,-0.08,-0.096%,210115694443.00,United States,,11755592,Health Care,Biotechnology: Pharmaceutical Preparations
MSFT,Microsoft Corporation Common Stock,$435.28,9.88,2.323%,3235237693557.00,United States,1986,30757434,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$1156.49,23.02,2.031%,492298375533.00,United States,2002,3774282,Consumer Discretionary,Consumer Electronics/Video Chains
NOW,ServiceNow Inc. Common Stock,$977.36,19.41,2.026%,202313520000.00,United States,2012,1669372,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$114.50,2.89,2.589%,2793800000000.00,United States,1999,190194778,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$150.73,5.24,3.602%,422682190820.00,United States,1986,11345977,Technology,Computer Software: Prepackaged Software
PG,Procter & Gamble Company (The) Common Stock,$160.52,0.54,0.338%,376345887298.00,United States,,5750165,Consumer Discretionary,Package Goods/Cosmetics
PLTR,Palantir Technologies Inc. Class A Common Stock,$124.28,8.08,6.954%,291480906566.00,United States,,103094298,Technology,Computer Software: Prepackaged Software
PM,Philip Morris International Inc Common Stock,$170.86,0.81,0.476%,265946525717.00,United States,,4451101,Health Care, Medicinal Chemicals and Botanical Products 
TMUS,T-Mobile US Inc. Common Stock,$248.88,1.88,0.761%,282589578479.00,United States,,2801204,Telecommunications,Telecommunications Equipment
TSLA,Tesla Inc. Common Stock,$287.21,6.69,2.385%,925090833361.00,United States,2010,114454683,Consumer Discretionary,Auto Manufacturing
UNH,UnitedHealth Group Incorporated Common Stock (DE),$399.92,-0.76,-0.19%,365811756213.00,United States,,11392906,Health Care,Medical Specialities
V,Visa Inc.,$347.60,5.15,1.504%,664088970279.00,United States,,6113683,Consumer Discretionary,Business Services
WFC,Wells Fargo & Company Common Stock,$73.80,1.99,2.771%,240158664515.00,United States,,18347422,Finance,Major Banks
WMT,Walmart Inc. Common Stock,$98.75,1.34,1.376%,791663882595.00,United States,,16031373,Consumer Discretionary,Department/Specialty Retail Stores
